schema_version,character_id,first_name,last_name,display_name,short_name,sex,birth_year,nationality,religion,left2right,evil2good,species,height_cm,weight_kg,description,strength,stamina,speed,agility,coordination,dexterity,balance,recovery,resilience,metabolism,lifespan,intelligence,perception,focus,memory,creativity,learning,technical_aptitude,tactical_awareness,willpower,faith,courage,composure,discipline,determination,adaptability,patience,risk_assessment,charisma,empathy,conversation,deception,loyalty,aggression
1.0,CHR0001,Zoah,Sceadwian,Sceadwian,SCE,M,1994,Latvia,christian,55,41,human,172,77,alt persona,74,86,79,88,80,75,78,90,90,82,76,89,56,66,42,86,91,89,87,79,94,67,83,56,65,82,57,88,78,42,86,73,88,85
1.0,CHR0002,Evander,Koestel,Evander,VAN,M,2017,Canada,atheist,68,39,human,182,70,Strong and relentless,84,66,56,62,61,58,67,38,48,43,49,25,29,11,36,55,9,54,27,33,58,87,55,32,23,72,22,6,52,62,63,56,55,87
1.0,CHR0003,Athena,Koestel,Athena,ATH,F,2013,Canada,atheist,45,46,human,175,55,Like Anime,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1.0,CHR0004,Alice,Silenieks,Alice,ALC,F,2022,Canada,christian,55,61,human,170,65,Is mischevious,73,83,71,55,63,59,61,81,76,88,78,76,87,52,84,77,88,79,62,66,76,78,68,65,66,86,46,55,95,65,58,65,82,82
1.0,CHR0005,Elliot,Sweenieks,Elliot,ELT,M,2014,Canada,christian,66,60,human,170,60,"Meticulous, quirky and funny",40,66,60,56,51,82,57,79,76,35,75,95,30,76,91,77,89,62,47,77,55,43,37,65,95,19,65,63,28,15,37,13,42,50
1.0,CHR0006,Leo,Silenieks,Leo,LEO,M,1984,Brazil,christian,75,72,human,170,78,ME,72,83,68,75,80,78,75,84,89,81,79,89,89,75,53,87,92,77,81,86,68,59,87,64,67,84,81,78,78,46,81,86,84,77
1.0,CHR0007,Jojo,Koestel,JoJo,JOJ,F,1995,Holland,christian,81,42,human,175,70,Adaptable negotiator who reads people well and conceals intentions.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1.0,CHR0008,Ethan,Brooks,Ethan Brooks,ETH,M,2001,Canadian,christian,55,52,human,190,94,"Powerful competitor with high courage, aggression, and recovery.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1.0,CHR0009,Noor,Rahman,Noor Rahman,NOO,F,1997,Bangladeshi,muslim,42,92,human,168,60,"Empathetic medic with high learning, resilience, and careful judgment.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1.0,CHR0010,Kwame,Mensah,Kwame Mensah,KWA,M,1990,Ghanaian,christian,47,71,human,179,79,Resourceful all-rounder with balanced physical and social abilities.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
